Subjects,Units
Fil 40,3
Philo 1,3
Speech 30,3
Math 21,4
Physics 71,4
Physics 71.1,1
Eng 13,3
IE 31,3
Math 22,4
Physics 72,4
Physics 72.1,1
ES 1,2
ES 26,3
PE,2
Kas 1,3
IE 21,3
IE 27,3
IE 40,3
Math 23,4
Acctg 1,3
Shop 7,1
PE,2
NSTP,3
IE 28,3
IE 32,3
IE 33,2
IE 41,3
IE 50,3
ES 101,4
PE,2
NSTP,3
GE Elective,3
Econ 11,3
IE 135,3
IE 142,2
IE 143,3
IE 162,3
ES 102,3
Soc Sci 1/2,3
IE 144,3
IE 151,3
IE 163,2
IE 171,3
BA 115,3
ME 63,3
IE 193,2
Arts 1,3
IE 153,3
IE 158,3
IE 172,2
IE 194,3
IE Elective,3
EEE 3,3
STS 1,3
IE 195,3
Engg 150,3
ChemE 2,3
PI 100,3
Free Elective,3
Total,168